date,open,high,low,close,volume,parkinson_volatility
2019-10-01,33150.0,33150.0,32550.0,32700.0,3408490,0.0109694593799045
2019-10-02,32500.0,32550.0,32000.0,32000.0,3438710,0.0102344432584157
2019-10-03,31500.0,32000.0,31250.0,32000.0,3700140,0.0142432257893193
2019-10-04,32100.0,32450.0,31850.0,31900.0,3287400,0.0112083104710541
2019-10-07,32000.0,32200.0,31500.0,31500.0,2033630,0.0131996786902739
2019-10-08,31700.0,31700.0,31200.0,31250.0,2322130,0.0095480739970262
2019-10-09,31300.0,32000.0,31200.0,32000.0,3326980,0.0152048932556414
2019-10-10,32100.0,32500.0,32100.0,32400.0,3104270,0.0074373855082618
2019-10-11,32500.0,32900.0,32350.0,32350.0,5124380,0.0101246432356996
2019-10-14,32300.0,32350.0,31550.0,31700.0,3171090,0.0150383119762364
2019-10-15,31700.0,32150.0,31700.0,31850.0,2352870,0.0084653724881738
2019-10-16,31850.0,32100.0,31800.0,31850.0,1852420,0.005639113773439
2019-10-17,31800.0,31900.0,31550.0,31850.0,2083310,0.0066256439251688
2019-10-18,31850.0,32050.0,31850.0,31900.0,2102750,0.0037593938371215
2019-10-21,31900.0,32400.0,31900.0,31900.0,2854740,0.0093401758869959
2019-10-22,32000.0,32150.0,31900.0,31900.0,1498800,0.0046882455446222
2019-10-23,31900.0,32300.0,31900.0,32250.0,1900330,0.0074837255543418
2019-10-24,32400.0,32700.0,32300.0,32700.0,2453760,0.0073916158229441
2019-10-25,32800.0,32800.0,32400.0,32550.0,1701750,0.0073689415849564
2019-10-28,32600.0,32650.0,32200.0,32450.0,1598210,0.0083348305240775
2019-10-29,32450.0,32800.0,32450.0,32600.0,2276050,0.0064428639852713
2019-10-30,32700.0,33350.0,32650.0,33250.0,3535150,0.0127396547655266
2019-10-31,33300.0,33450.0,33000.0,33200.0,3552630,0.0081341361432876
2019-11-01,33200.0,35300.0,33200.0,35050.0,9671220,0.0368342732085299
2019-11-04,35000.0,35400.0,34600.0,34900.0,3544600,0.0137277109331393
2019-11-05,35000.0,35800.0,34950.0,35600.0,4236650,0.0144311402548245
2019-11-06,35300.0,35850.0,35150.0,35150.0,3878200,0.0118424356340633
2019-11-07,35250.0,35750.0,35000.0,35200.0,3738230,0.0127332233624413
2019-11-08,35500.0,35500.0,34650.0,34650.0,4070760,0.0145545832793829
2019-11-11,34800.0,35200.0,34600.0,34700.0,2275720,0.010325088774937
2019-11-12,34900.0,35000.0,34650.0,34700.0,3146930,0.0060358418047352
2019-11-13,34700.0,34950.0,34450.0,34700.0,5588650,0.0086537693906438
2019-11-14,34900.0,35150.0,34750.0,35000.0,6503100,0.0068734507577575
2019-11-15,35200.0,35450.0,34950.0,35200.0,6260710,0.0085308423663433
2019-11-18,35300.0,35300.0,34900.0,35200.0,5992350,0.0068440763993984
2019-11-19,35200.0,35550.0,35150.0,35300.0,6523420,0.0067956731251787
2019-11-20,35300.0,35350.0,34700.0,35150.0,6273980,0.0111456384608582
2019-11-21,35100.0,35150.0,34800.0,35000.0,4127820,0.0060099549880155
2019-11-22,35150.0,35150.0,33400.0,34800.0,7310170,0.0306698909534633
2019-11-25,34500.0,34700.0,33500.0,33800.0,3422460,0.0211363000397378
2019-11-26,33800.0,34450.0,33800.0,34100.0,4996070,0.0114396069131172
